Stop,Line,Arrival,Arrival_predicted,Departure
Bern,IC6,2022-05-30T23:24:00,2022-05-30T23:32:41,
Bern,IC6,2022-05-30T22:26:00,,
Bern,IC61,2022-05-30T05:52:00,2022-05-30T05:52:52,2022-05-30T06:04:00
Basel SBB,IC61,2022-05-30T09:02:00,2022-05-30T09:04:49,
Basel SBB,IC61,,,2022-05-30T07:55:00
Bern,IC61,2022-05-30T11:56:00,2022-05-30T11:58:01,2022-05-30T12:04:00
Basel SBB,IC61,2022-05-30T22:02:00,2022-05-30T22:01:51,
Basel SBB,IC61,,,2022-05-30T20:55:00
Basel SBB,IC61,,,2022-05-30T21:55:00
Basel SBB,S1,,,2022-05-30T08:19:00
Basel SBB,S1,,,2022-05-30T10:19:00
Basel SBB,S1,,,2022-05-30T17:19:00
Basel SBB,S1,,,2022-05-30T18:19:00
Bern,IC,,,2022-05-30T16:10:00
Lausanne,IC5,2022-05-30T06:45:00,2022-05-30T06:44:13,
Lausanne,IC5,2022-05-30T08:45:00,2022-05-30T08:50:06,
Basel SBB,EC,2022-05-30T10:55:00,,2022-05-30T11:03:00
Lausanne,IC5,2022-05-30T10:45:00,2022-05-30T11:01:51,
Lausanne,IC5,,,2022-05-30T07:15:00
Lausanne,IC5,2022-05-30T11:45:00,2022-05-30T11:56:31,
Lausanne,IC5,,,2022-05-30T09:15:00
Lausanne,IC5,,,2022-05-30T12:15:00
Lausanne,IC5,,,2022-05-30T14:15:00
Lausanne,IC5,2022-05-30T18:45:00,2022-05-30T18:46:52,
Lausanne,IC5,,,2022-05-30T17:15:00
Lausanne,IC5,2022-05-30T21:45:00,2022-05-30T21:45:06,
Lausanne,IC5,,,2022-05-30T19:15:00
Lausanne,IC5,,,2022-05-31T00:18:00
Basel SBB,EC,2022-05-30T14:56:00,,
Basel SBB,IC51,,,2022-05-30T07:03:00
Basel SBB,IC51,,,2022-05-30T08:03:00
Basel SBB,IC51,,,2022-05-30T14:03:00
Basel SBB,IC51,2022-05-30T15:53:00,2022-05-30T15:53:35,
Basel SBB,IC51,,,2022-05-30T16:03:00
Basel SBB,IC51,2022-05-30T19:53:00,2022-05-30T19:54:18,
Basel SBB,IC51,,,
Basel SBB,S1,2022-05-30T07:23:00,2022-05-30T07:23:41,
Basel SBB,S,2022-05-30T07:51:00,,
Basel SBB,S,2022-05-30T07:42:00,2022-05-30T07:42:30,
Basel SBB,S,,,2022-05-30T16:26:00
Basel SBB,S,2022-05-30T19:00:00,2022-05-30T19:00:00,
Basel SBB,S,,,2022-05-30T17:56:00
Basel SBB,S,,,2022-05-30T17:46:00
Lausanne,IR90,2022-05-30T07:12:00,2022-05-30T07:11:01,2022-05-30T07:21:00
Basel SBB,S1,2022-05-30T07:41:00,2022-05-30T07:42:43,
Basel SBB,S1,,,2022-05-30T08:20:00
Basel SBB,S1,2022-05-30T09:41:00,2022-05-30T09:42:24,
Basel SBB,S1,,,2022-05-30T11:20:00
Basel SBB,S1,2022-05-30T12:41:00,2022-05-30T12:41:51,
Basel SBB,S1,,,2022-05-30T13:20:00
Basel SBB,S1,,,2022-05-30T14:20:00
Basel SBB,S1,,,2022-05-30T15:20:00
Basel SBB,S1,2022-05-30T17:41:00,2022-05-30T17:41:51,
Basel SBB,S1,,,2022-05-30T17:20:00
Lausanne,IR90,2022-05-30T11:12:00,2022-05-30T11:12:54,2022-05-30T11:21:00
Basel SBB,S1,,,2022-05-30T19:20:00
Basel SBB,S1,2022-05-30T20:41:00,2022-05-30T20:39:27,
Basel SBB,S1,,,2022-05-30T21:20:00
Basel SBB,S1,,,2022-05-30T22:20:00
Basel SBB,S1,2022-05-30T08:11:00,2022-05-30T08:11:48,
Basel SBB,S1,,,2022-05-30T07:50:00
Basel SBB,S1,,,2022-05-30T10:50:00
Basel SBB,S1,2022-05-30T12:11:00,2022-05-30T12:12:12,
Basel SBB,S1,2022-05-30T16:11:00,2022-05-30T16:11:04,
Lausanne,IR90,2022-05-30T17:39:00,2022-05-30T17:42:49,2022-05-30T17:48:00
Basel SBB,S1,2022-05-30T18:11:00,2022-05-30T18:15:26,
Basel SBB,S1,2022-05-31T01:11:00,2022-05-31T01:15:05,
Lausanne,IR90,2022-05-30T19:39:00,2022-05-30T19:38:49,2022-05-30T19:48:00
Basel SBB,S3,,,2022-05-30T04:40:00
Basel SBB,S3,2022-05-30T05:27:00,2022-05-30T05:27:11,2022-05-30T05:37:00
Basel SBB,S3,2022-05-30T06:27:00,2022-05-30T06:27:19,2022-05-30T06:37:00
Basel SBB,S3,2022-05-30T06:23:00,2022-05-30T06:31:39,2022-05-30T06:31:00
Basel SBB,S3,2022-05-30T07:27:00,2022-05-30T07:26:44,2022-05-30T07:37:00
Basel SBB,S3,2022-05-30T07:56:00,2022-05-30T07:57:44,2022-05-30T08:06:00
Basel SBB,S3,2022-05-30T07:50:00,2022-05-30T07:51:04,2022-05-30T08:01:00
Basel SBB,S3,2022-05-30T08:50:00,2022-05-30T08:52:49,2022-05-30T09:01:00
Lausanne,IR90,2022-05-30T19:12:00,2022-05-30T19:11:13,2022-05-30T19:21:00
Basel SBB,S3,2022-05-30T09:27:00,2022-05-30T09:28:00,2022-05-30T09:37:00
Basel SBB,S3,2022-05-30T10:27:00,2022-05-30T10:26:26,2022-05-30T10:37:00
Basel SBB,S3,2022-05-30T10:56:00,2022-05-30T10:57:08,2022-05-30T11:06:00
Basel SBB,S3,2022-05-30T10:50:00,2022-05-30T10:52:42,2022-05-30T11:01:00
Basel SBB,S3,2022-05-30T11:27:00,2022-05-30T11:27:52,2022-05-30T11:37:00
Lausanne,IR90,2022-05-30T21:39:00,2022-05-30T21:38:45,
Basel SBB,S3,2022-05-30T15:27:00,2022-05-30T15:26:47,2022-05-30T15:37:00
Basel SBB,S3,2022-05-30T17:56:00,2022-05-30T17:57:01,2022-05-30T18:06:00
Basel SBB,S3,2022-05-30T18:50:00,2022-05-30T18:51:40,2022-05-30T19:01:00
Basel SBB,S3,2022-05-30T19:27:00,2022-05-30T19:29:56,2022-05-30T19:37:00
Basel SBB,S3,2022-05-30T21:56:00,2022-05-30T21:55:59,2022-05-30T22:06:00
Basel SBB,S3,2022-05-31T01:01:00,,
Lausanne,IR90,2022-05-30T09:47:00,2022-05-30T09:48:18,2022-05-30T09:50:00
Lausanne,IR90,2022-05-30T15:47:00,,2022-05-30T15:50:00
Lausanne,IR90,2022-05-30T19:10:00,2022-05-30T19:09:31,2022-05-30T19:13:00
Lausanne,IR90,2022-05-30T18:47:00,2022-05-30T18:44:17,2022-05-30T18:50:00
Lausanne,IR90,2022-05-31T00:12:00,2022-05-31T00:14:39,
Lausanne,RE,2022-05-30T05:15:00,2022-05-30T05:14:51,
Lausanne,RE,2022-05-30T07:19:00,2022-05-30T07:19:53,2022-05-30T07:21:00
Lausanne,RE,2022-05-30T13:19:00,2022-05-30T13:18:32,2022-05-30T13:21:00
Lausanne,RE,2022-05-30T14:19:00,2022-05-30T14:19:38,2022-05-30T14:21:00
Bern,IR16,,,2022-05-30T06:33:00
Bern,IR16,,,2022-05-30T07:33:00
Bern,IR16,2022-05-30T10:24:00,2022-05-30T10:23:52,
Bern,IR16,,,2022-05-30T08:33:00
Bern,IR16,,,2022-05-30T14:33:00
Bern,IR16,2022-05-30T17:24:00,2022-05-30T17:24:52,
Bern,IR16,2022-05-30T18:24:00,2022-05-30T18:26:09,
Bern,IR16,,,2022-05-30T16:33:00
Bern,IR16,,,2022-05-30T20:33:00
Basel SBB,IR37,,,2022-05-30T05:43:00
Basel SBB,IR37,,,2022-05-30T08:43:00
Basel SBB,IR37,,,2022-05-30T09:43:00
Basel SBB,IR37,2022-05-30T16:13:00,,
Basel SBB,IR37,,,2022-05-30T15:43:00
Basel SBB,IR37,,,2022-05-30T20:43:00
Basel SBB,IR37,,,2022-05-30T22:43:00
Bern,IR35,,,2022-05-30T09:38:00
Bern,IR35,2022-05-30T15:21:00,2022-05-30T15:20:45,
Lausanne,S22,2022-05-30T06:35:00,2022-05-30T06:34:12,
Lausanne,S22,2022-05-30T07:35:00,2022-05-30T07:36:13,
Lausanne,S22,,,2022-05-30T07:40:00
Lausanne,S5,2022-05-30T23:35:00,2022-05-30T23:35:40,
Lausanne,S1,,,2022-05-30T07:54:00
Lausanne,S1,2022-05-30T09:05:00,2022-05-30T09:07:32,
Lausanne,S1,,,2022-05-30T09:54:00
Lausanne,S1,,,2022-05-30T13:54:00
Lausanne,S1,2022-05-30T15:05:00,2022-05-30T15:05:04,
Lausanne,S1,2022-05-31T00:05:00,2022-05-31T00:07:16,
Lausanne,S2,,,2022-05-30T05:01:00
Lausanne,S2,2022-05-30T05:59:00,2022-05-30T05:58:40,2022-05-30T06:01:00
Lausanne,IR,2022-05-30T17:51:00,2022-05-30T17:50:25,2022-05-30T17:56:00
Basel SBB,IR36,2022-05-30T06:50:00,2022-05-30T06:49:53,
Basel SBB,IR36,,,2022-05-30T05:11:00
Basel SBB,IR36,,,2022-05-30T10:11:00
Basel SBB,IR36,2022-05-30T16:48:00,,
Basel SBB,IR36,2022-05-30T23:48:00,,
Basel SBB,IR36,,,2022-05-31T00:11:00
Basel SBB,IR36,2022-05-30T07:32:00,2022-05-30T07:31:12,
Lausanne,S2,2022-05-30T06:59:00,2022-05-30T06:58:25,2022-05-30T07:01:00
Lausanne,S2,2022-05-30T09:59:00,2022-05-30T09:58:14,2022-05-30T10:01:00
Lausanne,S2,,2022-05-30T12:00:37,2022-05-30T12:01:00
Lausanne,S2,2022-05-30T12:59:00,2022-05-30T12:58:09,2022-05-30T13:01:00
Lausanne,S2,2022-05-30T20:59:00,2022-05-30T20:58:01,2022-05-30T21:01:00
Lausanne,S2,2022-05-30T20:59:00,2022-05-30T20:58:51,2022-05-30T21:01:00
Lausanne,S2,2022-05-30T21:59:00,2022-05-30T22:04:41,2022-05-30T22:01:00
Lausanne,S2,2022-05-30T23:59:00,2022-05-30T23:58:36,2022-05-31T00:15:00
Lausanne,S3,,2022-05-30T06:31:30,
Lausanne,S3,2022-05-30T11:32:00,2022-05-30T11:31:01,
Lausanne,S3,,,2022-05-30T13:26:00
Lausanne,S3,,,2022-05-30T14:26:00
Lausanne,S3,2022-05-30T18:32:00,2022-05-30T18:32:43,
Lausanne,S3,2022-05-30T19:32:00,2022-05-30T19:31:56,
Lausanne,S4,,,2022-05-30T05:04:00
Lausanne,S4,2022-05-30T07:55:00,2022-05-30T07:56:44,2022-05-30T07:58:00
Lausanne,S4,2022-05-30T12:02:00,2022-05-30T12:02:36,2022-05-30T12:04:00
Lausanne,S4,2022-05-30T14:55:00,2022-05-30T14:56:40,2022-05-30T14:58:00
Lausanne,S4,2022-05-30T18:55:00,2022-05-30T18:57:20,2022-05-30T18:58:00
Lausanne,S4,2022-05-30T20:02:00,2022-05-30T20:01:01,2022-05-30T20:04:00
Lausanne,S4,2022-05-30T20:55:00,2022-05-30T20:57:12,2022-05-30T20:58:00
Lausanne,S5,2022-05-30T07:28:00,2022-05-30T07:30:52,2022-05-30T07:30:00
Lausanne,S5,2022-05-30T14:28:00,2022-05-30T14:29:12,2022-05-30T14:30:00
Basel SBB,IR27,,,2022-05-30T07:16:00
Basel SBB,IR27,,,2022-05-30T08:16:00
Lausanne,S6,,,2022-05-30T10:33:00
Lausanne,S6,,,2022-05-30T11:33:00
Lausanne,S6,2022-05-30T13:27:00,2022-05-30T13:25:49,
Lausanne,S6,2022-05-30T14:27:00,2022-05-30T14:25:58,
Lausanne,S6,,,2022-05-30T17:33:00
Lausanne,S6,2022-05-30T18:27:00,2022-05-30T18:27:27,
Basel SBB,IR27,2022-05-30T12:45:00,,
Lausanne,S6,2022-05-30T21:27:00,2022-05-30T21:26:35,
Lausanne,S6,,,2022-05-30T23:33:00
Basel SBB,IR27,2022-05-30T13:45:00,,
Basel SBB,IR27,,,2022-05-30T15:16:00
Basel SBB,IR27,,,2022-05-30T18:16:00
Basel SBB,IR27,2022-05-30T21:45:00,,
Lausanne,S9,,,2022-05-30T17:13:00
Lausanne,S9,,,2022-05-30T19:13:00
Lausanne,S9,2022-05-30T19:48:00,2022-05-30T19:48:38,
Lausanne,S9,2022-05-30T22:48:00,2022-05-30T22:48:10,
Lausanne,S9,,,2022-05-30T23:13:00
Lausanne,IR15,2022-05-30T07:16:00,2022-05-30T07:16:45,2022-05-30T07:19:00
Bern,IR15,2022-05-30T07:00:00,2022-05-30T07:01:41,2022-05-30T07:04:00
Lausanne,IR15,2022-05-30T08:41:00,2022-05-30T08:42:28,2022-05-30T08:44:00
Bern,IR15,2022-05-30T09:56:00,2022-05-30T09:56:44,2022-05-30T10:00:00
Bern,IR15,2022-05-30T11:56:00,2022-05-30T11:55:52,2022-05-30T12:00:00
Bern,IR15,2022-05-30T13:00:00,2022-05-30T13:01:53,2022-05-30T13:04:00
Lausanne,IR15,2022-05-30T12:41:00,2022-05-30T12:41:14,2022-05-30T12:44:00
Bern,IR15,2022-05-30T15:56:00,2022-05-30T15:55:50,2022-05-30T16:00:00
Lausanne,IR15,2022-05-30T17:16:00,2022-05-30T17:16:33,2022-05-30T17:19:00
Bern,IR15,2022-05-30T16:56:00,2022-05-30T16:57:18,2022-05-30T17:00:00
Bern,IR15,2022-05-30T17:00:00,2022-05-30T17:01:15,2022-05-30T17:04:00
Lausanne,IR15,2022-05-30T19:41:00,2022-05-30T19:40:47,2022-05-30T19:44:00
Bern,IR15,2022-05-30T20:56:00,2022-05-30T20:56:28,2022-05-30T21:00:00
Lausanne,IR15,,,2022-05-30T21:44:00
Bern,IR15,2022-05-31T00:00:00,2022-05-31T00:01:29,
Bern,IR15,2022-05-31T01:00:00,2022-05-31T01:04:55,
Basel SBB,IC,,,2022-05-30T05:50:00
Basel SBB,ICE,2022-05-30T15:47:00,2022-05-30T16:03:41,
Basel SBB,ICE,2022-05-30T07:47:00,2022-05-30T07:48:32,2022-05-30T08:06:00
Basel SBB,S3,2022-05-30T23:56:00,2022-05-30T23:54:51,2022-05-31T00:06:00
Basel SBB,IR27,,,2022-05-30T08:14:00
Basel SBB,IR27,,,2022-05-30T12:14:00
Basel SBB,IR27,2022-05-30T20:47:00,2022-05-30T20:45:28,
Bern,EXT,2022-05-31T00:53:00,2022-05-31T00:53:13,
Basel SBB,IR36,2022-05-30T19:49:00,2022-05-30T19:48:44,
Basel SBB,IR36,2022-05-30T22:49:00,2022-05-30T22:48:12,
Basel SBB,IR37,,,2022-05-30T07:42:00
Basel SBB,IR37,2022-05-30T11:18:00,2022-05-30T11:18:06,
Basel SBB,IR37,,,2022-05-30T09:42:00
Basel SBB,IR37,2022-05-30T18:18:00,2022-05-30T18:20:36,
Basel SBB,IR37,2022-05-30T20:18:00,2022-05-30T20:14:22,
Basel SBB,IR37,2022-05-30T22:18:00,2022-05-30T22:14:37,
Basel SBB,IR37,2022-05-31T01:18:00,2022-05-31T01:19:03,
Basel SBB,IR37,,,2022-05-30T22:42:00
Lausanne,RE,2022-05-30T15:19:00,2022-05-30T15:17:08,2022-05-30T15:21:00
Lausanne,RE,2022-05-30T17:19:00,2022-05-30T17:16:58,2022-05-30T17:21:00
Lausanne,RE,2022-05-30T18:19:00,2022-05-30T18:16:46,2022-05-30T18:21:00
Lausanne,RE,2022-05-30T17:38:00,2022-05-30T17:36:39,2022-05-30T17:41:00
Lausanne,RE,2022-05-30T21:38:00,2022-05-30T21:36:54,
Lausanne,RE,2022-05-30T22:38:00,2022-05-30T22:41:40,
Lausanne,RE,2022-05-30T23:38:00,2022-05-30T23:43:32,
Lausanne,RE,2022-05-31T00:45:00,2022-05-31T00:44:54,
Lausanne,RE,,,2022-05-30T05:51:00
Lausanne,RE,2022-05-30T10:49:00,2022-05-30T10:49:06,2022-05-30T10:51:00
Lausanne,RE,2022-05-30T10:08:00,2022-05-30T10:07:39,2022-05-30T10:11:00
Lausanne,RE,2022-05-30T13:49:00,2022-05-30T13:47:39,2022-05-30T13:51:00
Lausanne,RE,,2022-05-30T16:48:41,2022-05-30T16:51:00
Lausanne,RE,2022-05-30T18:49:00,2022-05-30T18:48:02,2022-05-30T18:51:00
Lausanne,RE,2022-05-30T19:49:00,2022-05-30T19:46:38,2022-05-30T19:51:00
Lausanne,RE,2022-05-30T21:08:00,2022-05-30T21:09:01,2022-05-30T21:10:00
Lausanne,RE,,,2022-05-30T22:51:00
Lausanne,RE,2022-05-30T22:08:00,2022-05-30T22:09:37,
Basel SBB,TER,,,2022-05-30T17:38:00
Basel SBB,TER,2022-05-30T17:20:00,2022-05-30T17:20:32,
Basel SBB,TER,,,2022-05-30T18:08:00
Basel SBB,TER,,,2022-05-30T18:39:00
Basel SBB,TER,2022-05-30T18:20:00,2022-05-30T18:20:36,
Basel SBB,TER,,,2022-05-30T19:08:00
Basel SBB,TER,,,2022-05-30T20:38:00
Basel SBB,TER,,,2022-05-30T06:21:00
Basel SBB,TER,2022-05-30T10:08:00,2022-05-30T10:09:25,
Basel SBB,TER,,,2022-05-30T09:21:00
Basel SBB,TER,2022-05-30T13:08:00,2022-05-30T13:08:02,
Basel SBB,TER,,,2022-05-30T17:21:00
Basel SBB,TER,2022-05-30T20:38:00,2022-05-30T20:40:19,
Basel SBB,TER,,,2022-05-30T10:51:00
Basel SBB,TER,2022-05-30T14:08:00,2022-05-30T14:11:41,
Basel SBB,TER,2022-05-30T19:38:00,2022-05-30T19:39:50,
Basel SBB,IC61,,,2022-05-30T08:56:00
Bern,IC61,2022-05-30T09:56:00,,2022-05-30T10:04:00
Basel SBB,IC61,2022-05-30T11:01:00,,
Basel SBB,IC61,,,2022-05-30T10:56:00
Basel SBB,IC61,,,2022-05-30T12:56:00
Basel SBB,IC61,2022-05-30T15:01:00,,
Lausanne,TGV,2022-05-30T18:14:00,,
Basel SBB,IC61,2022-05-30T22:01:00,,
Bern,IC61,,,2022-05-31T00:08:00
Bern,IC61,2022-05-30T23:52:00,2022-05-30T23:53:17,
Basel SBB,IR36,,,2022-05-30T10:37:00
Basel SBB,IR36,,,2022-05-30T14:37:00
Basel SBB,IR36,2022-05-30T18:24:00,2022-05-30T18:24:15,
Basel SBB,IC6,2022-05-30T23:37:00,,
Lausanne,RE,2022-05-30T08:05:00,2022-05-30T08:06:16,2022-05-30T08:07:00
Bern,ICE,2022-05-30T18:56:00,,2022-05-30T19:04:00
Basel SBB,ICE,2022-05-30T21:49:00,2022-05-30T21:50:01,
Basel SBB,ICE,2022-05-30T19:53:00,,2022-05-30T20:09:00
Basel SBB,NJ,2022-05-30T22:53:00,,2022-05-30T23:13:00
Basel SBB,NJ,2022-05-30T06:20:00,2022-05-30T06:20:34,2022-05-30T06:45:00
Lausanne,EC,2022-05-30T19:14:00,2022-05-30T19:13:46,2022-05-30T19:18:00
Basel SBB,NJ,2022-05-30T20:53:00,,2022-05-30T21:13:00
Basel SBB,ICE,,,2022-05-30T05:37:00
Bern,EC,2022-05-30T10:24:00,,2022-05-30T10:36:00
Basel SBB,EC,2022-05-30T11:32:00,,
Bern,EC,2022-05-30T14:24:00,,2022-05-30T14:36:00
Bern,EC,2022-05-30T14:24:00,2022-05-30T14:46:23,2022-05-30T14:36:00
Basel SBB,IC3,,,2022-05-30T05:33:00
Basel SBB,EC,2022-05-30T22:32:00,,
Basel SBB,EC,,,2022-05-30T12:28:00
Basel SBB,IC3,,,2022-05-30T16:33:00
Basel SBB,IC3,2022-05-30T19:28:00,,
Basel SBB,IC3,,,2022-05-30T17:33:00
Basel SBB,IC3,2022-05-30T21:28:00,,
Bern,EC,2022-05-30T18:26:00,,2022-05-30T18:34:00
Basel SBB,IC3,,,2022-05-30T12:33:00
Basel SBB,IC21,,,2022-05-30T13:03:00
Basel SBB,IC21,,,2022-05-30T19:03:00
Basel SBB,IC21,2022-05-30T20:56:00,,
Basel SBB,IC21,2022-05-31T01:02:00,,
Basel SBB,EC,2022-05-30T13:33:00,2022-05-30T14:17:07,2022-05-30T13:56:00
Bern,IC1,,,2022-05-30T05:34:00
Bern,IC1,,,2022-05-30T05:29:00
Lausanne,IC1,2022-05-30T07:17:00,2022-05-30T07:16:26,2022-05-30T07:20:00
Lausanne,IC1,2022-05-30T08:17:00,2022-05-30T08:19:12,2022-05-30T08:20:00
Lausanne,IC1,2022-05-30T11:40:00,2022-05-30T11:41:14,2022-05-30T11:43:00
Lausanne,IC1,2022-05-30T09:17:00,2022-05-30T09:17:30,2022-05-30T09:20:00
Bern,IC1,2022-05-30T11:26:00,2022-05-30T11:24:58,2022-05-30T11:31:00
Bern,IC1,2022-05-30T12:28:00,2022-05-30T12:33:15,2022-05-30T12:34:00
Lausanne,IC1,2022-05-30T16:40:00,2022-05-30T16:42:56,2022-05-30T16:43:00
Bern,IC1,2022-05-30T17:26:00,2022-05-30T17:26:37,2022-05-30T17:31:00
Bern,IC1,2022-05-30T18:26:00,2022-05-30T18:25:29,2022-05-30T18:31:00
Basel SBB,ICE,2022-05-30T14:55:00,2022-05-30T15:06:22,2022-05-30T15:06:00
Lausanne,IC1,2022-05-30T20:17:00,2022-05-30T20:16:05,2022-05-30T20:20:00
Bern,IC1,2022-05-30T22:28:00,2022-05-30T22:28:15,2022-05-30T22:34:00
Lausanne,IC1,,,2022-05-30T22:20:00
Basel SBB,IC3,,,2022-05-30T10:06:00
Basel SBB,IC3,,,2022-05-30T11:06:00
Basel SBB,IC3,2022-05-30T13:53:00,,
Basel SBB,IC3,2022-05-30T16:53:00,,
Basel SBB,IC3,,,2022-05-30T20:06:00
Bern,IC8,2022-05-30T08:54:00,2022-05-30T08:57:25,2022-05-30T09:02:00
Bern,IC8,2022-05-30T10:58:00,2022-05-30T10:59:09,2022-05-30T11:07:00
Bern,IC8,2022-05-30T12:58:00,2022-05-30T12:58:17,2022-05-30T13:07:00
Bern,IC8,2022-05-30T19:58:00,2022-05-30T19:57:23,2022-05-30T20:07:00
Bern,IC8,2022-05-30T20:58:00,2022-05-30T20:58:18,
Basel SBB,TGV,2022-05-30T16:28:00,,2022-05-30T16:34:00
Lausanne,TGV,2022-05-30T21:37:00,2022-05-30T21:40:02,
Bern,IC61,,,2022-05-30T08:04:00
Basel SBB,TER,2022-05-30T07:20:00,2022-05-30T07:22:49,
Basel SBB,TER,,,2022-05-30T08:39:00
Basel SBB,TER,2022-05-30T08:50:00,2022-05-30T08:57:49,
Basel SBB,TER,,,2022-05-30T13:38:00
Basel SBB,TER,2022-05-30T12:50:00,2022-05-30T12:50:21,
Basel SBB,TER,2022-05-30T13:50:00,2022-05-30T13:52:56,
Basel SBB,TER,2022-05-30T14:50:00,2022-05-30T14:52:58,
